电芯编号,电芯文件夹,文件数量,成功读取文件数,通过筛选的 SOH 数量,初始 SOH,最终 SOH,SOH 覆盖范围,SOH 覆盖跨度,温度,工况,是否存在缺失或异常,异常说明,最终 SOH 分组,工况分组
3,METABatt_Sony_Murata_18650VTC6_003,28,28,0,96.1,76.0,76.0–96.1,20.099999999999994,24.88–30.31,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 28 个,75–80,"PUL, PAU"
4,METABatt_Sony_Murata_18650VTC6_004,30,30,12,97.1,59.2,59.2–97.1,37.89999999999999,24.62–25.88,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 18 个,≤60,"PUL, PAU"
5,METABatt_Sony_Murata_18650VTC6_005,28,28,27,96.3,74.3,74.3–96.3,22.0,24.88–29.12,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,70–75,"PUL, PAU"
6,METABatt_Sony_Murata_18650VTC6_006,27,27,25,96.0,73.3,73.3–96.0,22.700000000000003,24.69–29.44,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 2 个,70–75,"PUL, PAU"
7,METABatt_Sony_Murata_18650VTC6_007,24,24,24,96.2,77.5,77.5–96.2,18.700000000000003,24.94–29.19,"PUL, PAU",False,无,75–80,"PUL, PAU"
8,METABatt_Sony_Murata_18650VTC6_008,28,27,0,96.3,63.7,63.7–96.3,32.599999999999994,24.69–30.19,"PUL, PAU",True,无法使用的文件 1 个；未通过三 SOC/四脉冲筛选的 SOH 阶段 26 个,60–70,"PUL, PAU"
9,METABatt_Sony_Murata_18650VTC6_009,5,5,5,94.0,86.1,86.1–94.0,7.900000000000006,24.31–25.44,"PUL, PAU",False,无,85–90,"PUL, PAU"
10,METABatt_Sony_Murata_18650VTC6_010,27,27,20,96.2,69.6,69.6–96.2,26.60000000000001,24.81–29.38,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 7 个,60–70,"PUL, PAU"
11,METABatt_Sony_Murata_18650VTC6_011,26,26,25,96.0,76.7,76.7–96.0,19.299999999999997,24.81–29.69,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,75–80,"PUL, PAU"
14,METABatt_Sony_Murata_18650VTC6_014,14,14,14,96.1,78.1,78.1–96.1,18.0,24.56–36.19,"PUL, PAU",False,无,75–80,"PUL, PAU"
15,METABatt_Sony_Murata_18650VTC6_015,30,30,11,95.8,58.2,58.2–95.8,37.599999999999994,24.50–25.69,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 18 个,≤60,"PUL, PAU"
16,METABatt_Sony_Murata_18650VTC6_016,28,27,8,96.0,61.8,61.8–96.0,34.2,24.62–29.75,"PUL, PAU",True,无法使用的文件 1 个；未通过三 SOC/四脉冲筛选的 SOH 阶段 17 个,60–70,"PUL, PAU"
17,METABatt_Sony_Murata_18650VTC6_017,5,5,5,96.1,93.3,93.3–96.1,2.799999999999997,24.25–25.56,"PUL, PAU",False,无,90–95,"PUL, PAU"
18,METABatt_Sony_Murata_18650VTC6_018,6,6,6,96.4,91.6,91.6–96.4,4.800000000000011,24.25–25.88,"PUL, PAU",False,无,90–95,"PUL, PAU"
19,METABatt_Sony_Murata_18650VTC6_019,5,5,5,96.3,91.6,91.6–96.3,4.700000000000003,24.31–25.81,"PUL, PAU",False,无,90–95,"PUL, PAU"
20,METABatt_Sony_Murata_18650VTC6_020,22,22,19,96.2,72.7,72.7–96.2,23.5,20.06–26.00,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 3 个,70–75,"PUL, PAU"
21,METABatt_Sony_Murata_18650VTC6_021,30,30,18,96.2,65.6,65.6–96.2,30.60000000000001,24.56–25.94,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 12 个,60–70,"PUL, PAU"
22,METABatt_Sony_Murata_18650VTC6_022,28,28,26,96.1,73.7,73.7–96.1,22.39999999999999,24.81–29.38,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 2 个,70–75,"PUL, PAU"
23,METABatt_Sony_Murata_18650VTC6_023,30,30,11,95.8,58.9,58.9–95.8,36.9,24.56–26.31,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 18 个,≤60,"PUL, PAU"
24,METABatt_Sony_Murata_18650VTC6_024,27,27,17,96.5,67.1,67.1–96.5,29.400000000000006,23.94–28.19,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 10 个,60–70,"PUL, PAU"
25,METABatt_Sony_Murata_18650VTC6_025,30,30,14,95.8,65.1,65.1–95.8,30.700000000000003,23.19–25.75,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 16 个,60–70,"PUL, PAU"
26,METABatt_Sony_Murata_18650VTC6_026,30,30,22,95.5,67.0,67.0–95.5,28.5,24.94–26.00,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 7 个,60–70,"PUL, PAU"
27,METABatt_Sony_Murata_18650VTC6_027,28,28,27,96.2,74.2,74.2–96.2,22.0,24.81–29.00,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,70–75,"PUL, PAU"
29,METABatt_Sony_Murata_18650VTC6_029,27,27,0,96.2,61.6,61.6–96.2,34.6,24.12–29.19,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 26 个,60–70,"PUL, PAU"
31,METABatt_Sony_Murata_18650VTC6_031,30,30,0,95.9,58.2,58.2–95.9,37.7,24.75–26.75,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 30 个,≤60,"PUL, PAU"
32,METABatt_Sony_Murata_18650VTC6_032,30,30,14,95.8,55.8,55.8–95.8,40.0,24.38–26.00,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 14 个,≤60,"PUL, PAU"
33,METABatt_Sony_Murata_18650VTC6_033,28,28,24,96.3,72.4,72.4–96.3,23.89999999999999,24.69–29.31,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 4 个,70–75,"PUL, PAU"
34,METABatt_Sony_Murata_18650VTC6_034,28,28,16,96.4,59.0,59.0–96.4,37.400000000000006,23.94–28.25,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 12 个,≤60,"PUL, PAU"
35,METABatt_Sony_Murata_18650VTC6_035,28,28,28,96.6,79.9,79.9–96.6,16.69999999999999,23.88–28.88,"PUL, PAU",False,无,75–80,"PUL, PAU"
36,METABatt_Sony_Murata_18650VTC6_036,30,30,0,96.0,58.2,58.2–96.0,37.8,24.62–26.62,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 30 个,≤60,"PUL, PAU"
37,METABatt_Sony_Murata_18650VTC6_037,28,28,16,96.6,65.4,65.4–96.6,31.19999999999999,24.00–28.44,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 12 个,60–70,"PUL, PAU"
38,METABatt_Sony_Murata_18650VTC6_038,28,28,16,96.4,66.8,66.8–96.4,29.60000000000001,24.06–28.38,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 12 个,60–70,"PUL, PAU"
39,METABatt_Sony_Murata_18650VTC6_039,30,30,0,96.3,57.9,57.9–96.3,38.4,24.62–26.56,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 30 个,≤60,"PUL, PAU"
40,METABatt_Sony_Murata_18650VTC6_040,30,30,0,95.9,55.0,55.0–95.9,40.900000000000006,24.50–26.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 30 个,≤60,"PUL, PAU"
41,METABatt_Sony_Murata_18650VTC6_041,32,28,15,96.6,57.7,57.7–96.6,38.89999999999999,24.00–28.44,"PUL, PAU",True,无法使用的文件 4 个；未通过三 SOC/四脉冲筛选的 SOH 阶段 13 个,≤60,"PUL, PAU"
42,METABatt_Sony_Murata_18650VTC6_042,28,28,16,96.4,59.0,59.0–96.4,37.400000000000006,23.88–28.62,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 12 个,≤60,"PUL, PAU"
43,METABatt_Sony_Murata_18650VTC6_043,26,26,26,96.4,79.9,79.9–96.4,16.5,23.88–28.31,"PUL, PAU",False,无,75–80,"PUL, PAU"
44,METABatt_Sony_Murata_18650VTC6_044,28,28,15,96.4,58.3,58.3–96.4,38.10000000000001,23.81–28.56,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 13 个,≤60,"PUL, PAU"
45,METABatt_Sony_Murata_18650VTC6_045,28,28,0,96.1,60.2,60.2–96.1,35.89999999999999,24.94–30.31,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 28 个,60–70,"PUL, PAU"
46,METABatt_Sony_Murata_18650VTC6_046,28,28,24,96.2,72.3,72.3–96.2,23.900000000000006,24.88–29.06,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 4 个,70–75,"PUL, PAU"
47,METABatt_Sony_Murata_18650VTC6_047,25,25,25,96.0,77.3,77.3–96.0,18.700000000000003,24.88–29.81,"PUL, PAU",False,无,75–80,"PUL, PAU"
48,METABatt_Sony_Murata_18650VTC6_048,28,28,19,96.3,67.7,67.7–96.3,28.599999999999994,24.56–29.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 9 个,60–70,"PUL, PAU"
49,METABatt_Sony_Murata_18650VTC6_049,26,26,0,96.5,59.3,59.3–96.5,37.2,24.06–27.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 26 个,≤60,"PUL, PAU"
51,METABatt_Sony_Murata_18650VTC6_051,27,27,14,97.1,63.4,63.4–97.1,33.699999999999996,22.25–25.75,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 13 个,60–70,"PUL, PAU"
52,METABatt_Sony_Murata_18650VTC6_052,27,27,0,97.1,64.6,64.6–97.1,32.5,21.94–26.00,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 27 个,60–70,"PUL, PAU"
53,METABatt_Sony_Murata_18650VTC6_053,28,28,19,96.1,69.8,69.8–96.1,26.299999999999997,24.00–27.94,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 9 个,60–70,"PUL, PAU"
55,METABatt_Sony_Murata_18650VTC6_055,22,22,21,95.6,74.3,74.3–95.6,21.299999999999997,19.69–25.69,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,70–75,"PUL, PAU"
56,METABatt_Sony_Murata_18650VTC6_056,28,28,24,95.8,72.4,72.4–95.8,23.39999999999999,24.38–29.12,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 4 个,70–75,"PUL, PAU"
57,METABatt_Sony_Murata_18650VTC6_057,27,27,0,97.0,65.5,65.5–97.0,31.5,22.25–26.56,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 27 个,60–70,"PUL, PAU"
58,METABatt_Sony_Murata_18650VTC6_058,29,28,0,95.7,73.0,73.0–95.7,22.700000000000003,24.69–30.00,"PUL, PAU",True,无法使用的文件 1 个；未通过三 SOC/四脉冲筛选的 SOH 阶段 28 个,70–75,"PUL, PAU"
59,METABatt_Sony_Murata_18650VTC6_059,28,28,28,96.3,74.9,74.9–96.3,21.39999999999999,24.12–27.62,"PUL, PAU",False,无,70–75,"PUL, PAU"
60,METABatt_Sony_Murata_18650VTC6_060,28,28,0,96.1,58.3,58.3–96.1,37.8,24.06–28.94,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 28 个,≤60,"PUL, PAU"
61,METABatt_Sony_Murata_18650VTC6_061,28,28,16,96.0,60.9,60.9–96.0,35.1,24.56–29.19,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 12 个,60–70,"PUL, PAU"
62,METABatt_Sony_Murata_18650VTC6_062,27,27,14,97.0,63.3,63.3–97.0,33.7,22.31–25.25,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 13 个,60–70,"PUL, PAU"
63,METABatt_Sony_Murata_18650VTC6_063,28,28,24,95.9,72.3,72.3–95.9,23.60000000000001,23.75–27.69,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 4 个,70–75,"PUL, PAU"
65,METABatt_Sony_Murata_18650VTC6_065,28,28,26,95.9,73.6,73.6–95.9,22.30000000000001,24.62–28.88,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 2 个,70–75,"PUL, PAU"
66,METABatt_Sony_Murata_18650VTC6_066,28,28,25,95.8,73.1,73.1–95.8,22.700000000000003,24.88–29.06,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 3 个,70–75,"PUL, PAU"
67,METABatt_Sony_Murata_18650VTC6_067,27,27,27,96.0,79.5,79.5–96.0,16.5,24.12–28.44,"PUL, PAU",False,无,75–80,"PUL, PAU"
68,METABatt_Sony_Murata_18650VTC6_068,27,27,23,95.9,72.3,72.3–95.9,23.60000000000001,24.88–29.38,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 4 个,70–75,"PUL, PAU"
69,METABatt_Sony_Murata_18650VTC6_069,28,28,27,95.7,74.4,74.4–95.7,21.299999999999997,24.56–29.25,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,70–75,"PUL, PAU"
70,METABatt_Sony_Murata_18650VTC6_070,28,28,20,96.2,69.9,69.9–96.2,26.299999999999997,23.88–28.12,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 8 个,60–70,"PUL, PAU"
71,METABatt_Sony_Murata_18650VTC6_071,28,28,22,96.2,71.3,71.3–96.2,24.900000000000006,23.81–28.25,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 6 个,70–75,"PUL, PAU"
72,METABatt_Sony_Murata_18650VTC6_072,27,27,15,96.8,64.6,64.6–96.8,32.2,22.06–25.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 12 个,60–70,"PUL, PAU"
73,METABatt_Sony_Murata_18650VTC6_073,27,27,22,96.9,72.3,72.3–96.9,24.60000000000001,21.94–25.81,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 5 个,70–75,"PUL, PAU"
74,METABatt_Sony_Murata_18650VTC6_074,27,27,15,96.9,65.8,65.8–96.9,31.10000000000001,22.00–25.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 12 个,60–70,"PUL, PAU"
75,METABatt_Sony_Murata_18650VTC6_075,28,28,23,95.8,71.9,71.9–95.8,23.89999999999999,24.62–28.88,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 5 个,70–75,"PUL, PAU"
76,METABatt_Sony_Murata_18650VTC6_076,28,28,0,96.0,78.5,78.5–96.0,17.5,24.06–28.94,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 28 个,75–80,"PUL, PAU"
77,METABatt_Sony_Murata_18650VTC6_077,28,28,21,95.7,70.3,70.3–95.7,25.400000000000006,24.56–29.19,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 7 个,70–75,"PUL, PAU"
